YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2001,11,18,77.05,28.590999999999998,-1.0,0.43200000000000005,0.02
2001,11,19,77.05,28.590999999999998,0.25,0.3,0.044000000000000004
2001,11,20,77.05,28.590999999999998,-1.0,0.445,-1.0
2001,11,21,77.05,28.590999999999998,0.35,0.413,0.061
2001,11,22,77.05,28.590999999999998,0.49,0.49200000000000005,0.055999999999999994
2001,11,23,77.05,28.590999999999998,-1.0,0.384,0.111
2001,11,24,77.05,28.590999999999998,0.27,0.32299999999999995,0.077
2001,11,25,77.05,28.590999999999998,-1.0,0.423,0.048
2001,11,26,77.05,28.590999999999998,0.4,0.369,0.077
2001,11,27,77.05,28.590999999999998,-1.0,0.513,-1.0
2001,11,28,77.05,28.590999999999998,0.48,0.508,0.027000000000000003
2001,11,29,77.05,28.590999999999998,-1.0,0.511,0.021
2001,11,30,77.05,28.590999999999998,0.29,0.32899999999999996,0.043
2001,12,1,77.05,28.590999999999998,0.37,0.304,0.085
2001,12,2,77.05,28.590999999999998,-1.0,0.307,0.027999999999999997
2001,12,3,77.05,28.590999999999998,0.23,0.23,0.036000000000000004
